Date,Price,Open,High,Low,Vol.,Change %,Symbol
08-04-2024,416.35,417.5,418.7,414.75,7.59M,0.42%,TTPW
05-04-2024,414.6,414.1,415.45,408.05,8.53M,0.12%,TTPW
04-04-2024,414.1,415.7,419.85,410.7,16.38M,0.45%,TTPW
03-04-2024,412.25,409,415.25,407.35,12.20M,0.84%,TTPW
02-04-2024,408.8,407,412.15,406.6,10.63M,0.45%,TTPW
01-04-2024,406.95,398.95,408.85,397.55,17.77M,3.23%,TTPW
28-03-2024,394.2,391,398.9,391,16.04M,1.49%,TTPW
27-03-2024,388.4,391.55,393.85,387.5,9.08M,-0.44%,TTPW
26-03-2024,390.1,390.5,394,387.75,9.14M,-0.15%,TTPW
22-03-2024,390.7,389.9,395.5,386.5,11.76M,-0.37%,TTPW
21-03-2024,392.15,385.1,394.35,384,16.91M,3.22%,TTPW
20-03-2024,379.9,386,388.35,371.1,18.07M,-0.87%,TTPW
19-03-2024,383.25,392.15,392.9,381.1,14.81M,-2.42%,TTPW
18-03-2024,392.75,382.85,394.45,378.55,34.07M,3.15%,TTPW
15-03-2024,380.75,384.45,388,372,20.86M,-0.96%,TTPW
14-03-2024,384.45,371.95,386.3,365.55,27.09M,3.36%,TTPW
13-03-2024,371.95,399.25,399.8,367.75,36.19M,-6.10%,TTPW
12-03-2024,396.1,414.4,414.7,395,26.81M,-4.13%,TTPW
11-03-2024,413.15,414,421.5,404.65,39.12M,-2.85%,TTPW
07-03-2024,425.25,396,433.3,396,98.88M,7.67%,TTPW
06-03-2024,394.95,396.15,397.6,384.7,15.80M,-0.30%,TTPW
05-03-2024,396.15,392,399.95,390.5,18.80M,1.12%,TTPW
04-03-2024,391.75,381.05,394,380.2,25.81M,3.32%,TTPW
02-03-2024,379.15,378.5,380.55,377.65,1.09M,0.46%,TTPW
01-03-2024,377.4,375.55,379.75,374.55,7.85M,1.52%,TTPW
29-02-2024,371.75,367,374,363.05,8.09M,1.64%,TTPW
28-02-2024,365.75,375.5,378.25,364.6,8.58M,-2.61%,TTPW
27-02-2024,375.55,379,379.5,373.95,6.32M,-0.75%,TTPW
26-02-2024,378.4,379,381.4,377.7,6.23M,0.00%,TTPW
23-02-2024,378.4,379.35,381.75,377.5,5.69M,0.13%,TTPW
22-02-2024,377.9,377.05,379.7,369.25,8.45M,0.65%,TTPW
21-02-2024,375.45,380.7,383.85,373.5,10.28M,-0.92%,TTPW
20-02-2024,378.95,381,382.5,376.05,7.30M,-0.41%,TTPW
19-02-2024,380.5,383.1,385.8,379.1,12.56M,1.12%,TTPW
16-02-2024,376.3,383,383,375.25,9.59M,-0.67%,TTPW
15-02-2024,378.85,376.65,382.35,374.75,16.00M,1.38%,TTPW
14-02-2024,373.7,364.3,374.6,358.2,15.22M,2.37%,TTPW
13-02-2024,365.05,361.7,366.5,354.6,21.22M,0.93%,TTPW
12-02-2024,361.7,379.9,386.15,359.2,44.08M,-7.75%,TTPW
09-02-2024,392.1,412.9,412.9,384.05,38.30M,-3.76%,TTPW
08-02-2024,407.4,396.5,410.9,393.1,21.63M,3.10%,TTPW
07-02-2024,395.15,395.7,401.75,392,13.28M,0.56%,TTPW
06-02-2024,392.95,396.65,396.65,386.75,12.29M,-0.27%,TTPW
05-02-2024,394,395.5,402.5,390.2,22.19M,1.08%,TTPW
02-02-2024,389.8,391.55,394.8,387.55,13.34M,0.24%,TTPW
01-02-2024,388.85,392.1,396.7,385.45,25.40M,-0.23%,TTPW
31-01-2024,389.75,385,391.2,383.7,15.54M,1.70%,TTPW
30-01-2024,383.25,386.1,392.8,382,23.86M,0.35%,TTPW
29-01-2024,381.9,369.45,387.25,366.85,34.45M,4.60%,TTPW
25-01-2024,365.1,358.95,366.7,358,19.95M,2.28%,TTPW
24-01-2024,356.95,348.5,357.9,343.75,19.81M,3.11%,TTPW
23-01-2024,346.2,365.5,365.75,341.2,25.99M,0.10%,TTPW
20-01-2024,345.85,350,351.8,345,5.63M,-0.80%,TTPW
19-01-2024,348.65,348,351.3,345.1,13.48M,0.90%,TTPW
18-01-2024,345.55,347.8,350,335.3,16.86M,-0.93%,TTPW
17-01-2024,348.8,352.4,355.35,346.5,12.08M,-1.32%,TTPW
16-01-2024,353.45,358.95,360.7,349,14.13M,-1.52%,TTPW
15-01-2024,358.9,359.65,360.2,353,12.87M,0.32%,TTPW
12-01-2024,357.75,361.65,361.85,356.55,20.93M,0.13%,TTPW
11-01-2024,357.3,349.45,360,347.85,33.50M,3.13%,TTPW
10-01-2024,346.45,342.2,348.75,340.75,23.43M,1.84%,TTPW
09-01-2024,340.2,341.65,344.85,338.05,14.50M,0.37%,TTPW
08-01-2024,338.95,344,344,337.35,14.55M,-0.53%,TTPW
05-01-2024,340.75,339.35,349.7,336.15,37.56M,0.86%,TTPW
04-01-2024,337.85,326.8,340.8,326.8,26.97M,3.41%,TTPW
03-01-2024,326.7,329.6,329.6,324.85,9.95M,-0.95%,TTPW
02-01-2024,329.85,331.7,332.7,319.6,15.69M,-0.14%,TTPW
01-01-2024,330.3,333.9,335.85,328.15,10.10M,-0.56%,TTPW
29-12-2023,332.15,330.1,336,326.05,19.91M,0.71%,TTPW
28-12-2023,329.8,326.6,331,324,16.18M,1.52%,TTPW
27-12-2023,324.85,327.05,329.9,321.65,10.35M,-0.17%,TTPW
26-12-2023,325.4,328.55,331.4,325,11.31M,-0.38%,TTPW
22-12-2023,326.65,331,332,323.55,15.18M,-0.58%,TTPW
21-12-2023,328.55,318,330.7,312.7,26.39M,2.62%,TTPW
20-12-2023,320.15,336.7,346.9,318,40.68M,-4.69%,TTPW
19-12-2023,335.9,338.5,338.5,330.45,11.71M,-0.34%,TTPW
18-12-2023,337.05,339,340.3,334.4,15.56M,1.16%,TTPW
15-12-2023,333.2,337.4,338.5,331.8,17.08M,-0.66%,TTPW
14-12-2023,335.4,340.9,341.9,335,16.56M,-0.81%,TTPW
13-12-2023,338.15,332.1,340.5,329.75,33.63M,2.22%,TTPW
12-12-2023,330.8,335,335,327.6,22.63M,-0.85%,TTPW
11-12-2023,333.65,325.4,335.3,322.35,40.35M,3.12%,TTPW
08-12-2023,323.55,331.95,335.95,318.1,74.99M,-0.69%,TTPW
07-12-2023,325.8,295,332.15,292.15,152.38M,10.76%,TTPW
06-12-2023,294.15,281.55,298.6,280.2,45.93M,4.49%,TTPW
05-12-2023,281.5,283,283.2,276.5,21.57M,-0.02%,TTPW
04-12-2023,281.55,285,286,278.9,28.89M,2.01%,TTPW
01-12-2023,276,270,278.5,268.55,32.16M,3.02%,TTPW
30-11-2023,267.9,273,273,265.1,20.40M,-2.01%,TTPW
29-11-2023,273.4,275,275.7,271.5,26.39M,0.96%,TTPW
28-11-2023,270.8,259.4,271.4,258.5,24.75M,4.90%,TTPW
24-11-2023,258.15,261.4,261.9,257.05,7.15M,-1.00%,TTPW
