Date,Price,Open,High,Low,Vol.,Change %,Symbol
26-08-2022,"1,901.11","1,885.95","1,907.70","1,882.95",1.12M,1.46%,LART
25-08-2022,"1,873.68","1,895.72","1,913.69","1,868.79",1.12M,-0.82%,LART
24-08-2022,"1,889.09","1,871.78","1,893.73","1,847.43",1.53M,0.87%,LART
23-08-2022,"1,872.83","1,865.79","1,907.65","1,861.50",1.81M,-0.19%,LART
22-08-2022,"1,876.42","1,932.74","1,939.63","1,870.78",3.18M,-2.86%,LART
19-08-2022,"1,931.69","1,889.84","1,937.63","1,888.49",4.13M,2.19%,LART
18-08-2022,"1,890.29","1,852.82","1,894.28","1,845.84",2.52M,2.09%,LART
17-08-2022,"1,851.53","1,857.26","1,863.15","1,845.89",1.75M,0.37%,LART
16-08-2022,"1,844.74","1,855.81","1,859.81","1,837.86",1.43M,0.13%,LART
12-08-2022,"1,842.30","1,860.80","1,864.80","1,833.86",1.04M,-1.11%,LART
11-08-2022,"1,862.95","1,865.84","1,874.57","1,851.03",1.92M,0.65%,LART
10-08-2022,"1,850.98","1,825.88","1,862.80","1,818.15",3.42M,1.39%,LART
08-08-2022,"1,825.53","1,792.36","1,827.93","1,786.22",2.63M,2.36%,LART
05-08-2022,"1,783.43","1,778.94","1,802.93","1,771.31",1.43M,0.41%,LART
04-08-2022,"1,776.09","1,789.76","1,810.72","1,771.01",1.86M,-0.54%,LART
03-08-2022,"1,785.77","1,789.02","1,799.94","1,769.01",1.26M,-0.18%,LART
02-08-2022,"1,789.02","1,804.93","1,807.57","1,771.70",1.75M,-1.19%,LART
01-08-2022,"1,810.62","1,803.93","1,813.76","1,786.27",1.34M,0.37%,LART
29-07-2022,"1,803.98","1,810.87","1,828.38","1,789.96",1.75M,0.38%,LART
28-07-2022,"1,797.20","1,800.94","1,811.91","1,782.93",1.83M,0.26%,LART
27-07-2022,"1,792.61","1,750.05","1,815.41","1,746.06",5.37M,2.59%,LART
26-07-2022,"1,747.31","1,776.74","1,776.74","1,737.98",1.59M,-1.75%,LART
25-07-2022,"1,778.44","1,761.03","1,781.48","1,756.09",1.92M,0.83%,LART
22-07-2022,"1,763.77","1,761.53","1,775.55","1,748.61",1.50M,0.15%,LART
21-07-2022,"1,761.18","1,723.01","1,764.97","1,711.24",2.83M,1.45%,LART
20-07-2022,"1,736.04","1,736.43","1,742.92","1,724.06",1.51M,0.59%,LART
19-07-2022,"1,725.91","1,716.08","1,731.05","1,710.14",1.35M,0.12%,LART
18-07-2022,"1,723.76","1,692.23","1,730.70","1,686.20",3.20M,2.54%,LART
15-07-2022,"1,681.06","1,650.18","1,684.05","1,645.49",1.35M,2.35%,LART
14-07-2022,"1,642.45","1,648.13","1,663.60","1,630.92",1.17M,-0.07%,LART
13-07-2022,"1,643.54","1,660.26","1,679.46","1,640.70",1.91M,-0.39%,LART
12-07-2022,"1,650.03","1,651.28","1,669.14","1,645.34",781.52K,-0.56%,LART
11-07-2022,"1,659.26","1,681.16","1,685.05","1,649.68",1.32M,-1.45%,LART
08-07-2022,"1,683.65","1,617.35","1,698.17","1,614.36",6.52M,4.74%,LART
07-07-2022,"1,607.47","1,562.38","1,610.52","1,562.13",1.70M,3.53%,LART
06-07-2022,"1,552.65","1,562.03","1,586.92","1,548.31",2.42M,-0.56%,LART
05-07-2022,"1,561.38","1,580.44","1,593.66","1,558.09",1.45M,-1.06%,LART
04-07-2022,"1,578.14","1,568.56","1,583.88","1,546.71",1.27M,0.61%,LART
01-07-2022,"1,568.61","1,557.44","1,572.45","1,531.15",1.29M,0.89%,LART
30-06-2022,"1,554.74","1,545.56","1,563.37","1,538.63",3.31M,0.67%,LART
29-06-2022,"1,544.42","1,527.81","1,550.50","1,521.97",1.48M,-0.23%,LART
28-06-2022,"1,548.01","1,526.56","1,554.00","1,520.67",2.07M,1.02%,LART
27-06-2022,"1,532.34","1,520.57","1,541.22","1,506.35",2.39M,2.74%,LART
24-06-2022,"1,491.49","1,498.37","1,508.60","1,485.65",1.73M,0.04%,LART
23-06-2022,"1,490.94","1,478.17","1,508.35","1,478.17",1.83M,1.05%,LART
22-06-2022,"1,475.42","1,486.65","1,487.59","1,464.70",1.91M,-1.44%,LART
21-06-2022,"1,496.92","1,476.67","1,511.79","1,473.58",1.46M,1.94%,LART
20-06-2022,"1,468.49","1,486.65","1,494.48","1,453.07",1.84M,-1.22%,LART
17-06-2022,"1,486.60","1,518.58","1,526.51","1,478.07",4.55M,-2.45%,LART
16-06-2022,"1,523.96","1,564.87","1,571.46","1,513.34",2.33M,-2.11%,LART
15-06-2022,"1,556.84","1,544.47","1,563.47","1,535.59",1.46M,1.02%,LART
14-06-2022,"1,541.18","1,528.60","1,550.80","1,521.77",1.98M,0.82%,LART
13-06-2022,"1,528.60","1,556.64","1,562.43","1,514.88",2.46M,-3.35%,LART
10-06-2022,"1,581.53","1,566.47","1,590.91","1,565.52",1.34M,-0.63%,LART
09-06-2022,"1,591.51","1,552.70","1,596.40","1,552.70",1.36M,0.67%,LART
08-06-2022,"1,580.98","1,591.41","1,604.18","1,566.57",2.12M,-0.31%,LART
07-06-2022,"1,585.87","1,626.33","1,634.71","1,582.53",2.16M,-3.09%,LART
